pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,861.9724334133207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,860.8745031094402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,859.7765728055599
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,858.6786425016794
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,857.5807121977991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,856.4827818939186
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,855.3848515900386
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,875.2087707497108
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,874.1108404458303
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,873.01291014195
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,871.9149798380695
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,870.8170495341894
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,869.7191192303089
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,868.6211889264287
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,888.4451080861011
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,887.3471777822206
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,886.2492474783401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,885.1513171744598
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,884.0533868705795
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,882.955456566699
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,881.857526262819
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,901.6814454224912
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,900.5835151186106
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,899.4855848147304
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,898.3876545108499
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,897.2897242069696
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,896.1917939030893
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,895.093863599209
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,914.9177827588812
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,913.8198524550007
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,912.7219221511205
